year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1982,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,49412,24.0,7.0,206.0,372.0,33.0,0.0,4.0,4.0,48.6,14.2,416.9,752.9,66.8,0.0,8.1,8.1
1982,60,119.0,Madison,3,Southern,Mostly Urban,13.3,244437,364.0,62.0,3714.0,8409.0,572.0,12.0,178.0,52.0,148.9,25.4,1519.4,3440.2,234.0,4.9,72.8,21.3
1982,61,121.0,Marion,4,Southern,Mostly Urban,45.1,44347,84.0,6.0,410.0,1289.0,62.0,0.0,27.0,8.0,189.4,13.5,924.5,2906.6,139.8,0.0,60.9,18.0
1982,62,123.0,Marshall,10,Central,Completely Rural,100.0,14308,6.0,3.0,26.0,161.0,2.0,1.0,0.0,1.0,41.9,21.0,181.7,1125.2,14.0,7.0,0.0,7.0
1982,63,125.0,Mason,8,Central,Mostly Rural,77.5,18797,3.0,4.0,61.0,264.0,7.0,0.0,1.0,1.0,16.0,21.3,324.5,1404.5,37.2,0.0,5.3,5.3
1982,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15069,21.0,1.0,72.0,382.0,12.0,0.0,2.0,1.0,139.4,6.6,477.8,2535.0,79.6,0.0,13.3,6.6
1982,65,129.0,Menard,8,Central,Mostly Rural,75.7,11682,2.0,3.0,52.0,63.0,4.0,0.0,0.0,0.0,17.1,25.7,445.1,539.3,34.2,0.0,0.0,0.0
1982,66,131.0,Mercer,14,Central,Mostly Rural,77.8,19468,2.0,1.0,39.0,72.0,9.0,1.0,0.0,0.0,10.3,5.1,200.3,369.8,46.2,5.1,0.0,0.0
1982,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,20341,16.0,2.0,94.0,118.0,7.0,1.0,4.0,2.0,78.7,9.8,462.1,580.1,34.4,4.9,19.7,9.8
1982,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,32662,5.0,3.0,158.0,243.0,25.0,0.0,3.0,2.0,15.3,9.2,483.7,744.0,76.5,0.0,9.2,6.1
1982,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37158,42.0,10.0,398.0,1131.0,24.0,1.0,9.0,4.0,113.0,26.9,1071.1,3043.8,64.6,2.7,24.2,10.8
1982,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14650,4.0,0.0,30.0,97.0,5.0,0.0,0.0,0.0,27.3,0.0,204.8,662.1,34.1,0.0,0.0,0.0
1982,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,46059,20.0,2.0,194.0,578.0,23.0,0.0,5.0,0.0,43.4,4.3,421.2,1254.9,49.9,0.0,10.9,0.0
1982,72,143.0,Peoria,10,Central,Mostly Urban,14.6,197990,976.0,103.0,3644.0,8395.0,388.0,9.0,392.0,81.0,493.0,52.0,1840.5,4240.1,196.0,4.5,198.0,40.9
1982,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21977,36.0,4.0,116.0,323.0,13.0,0.0,1.0,2.0,163.8,18.2,527.8,1469.7,59.2,0.0,4.6,9.1
